user_id,birthday,gender
3858,05/09/1985,MALE
4125,14/08/2000,MALE
4095,28/12/1974,MALE
3255,23/11/2002,MALE
3377,05/10/1985,MALE
3147,12/03/1979,MALE
4146,16/04/1997,MALE
3580,09/03/1997,FEMALE
3430,27/03/1987,MALE
3825,22/02/1998,MALE
3060,21/02/1990,MALE
2841,01/08/1976,MALE
3792,20/10/1987,MALE
4103,04/07/1986,MALE
4078,28/05/1992,MALE
3715,14/04/1993,MALE
2971,10/04/1982,MALE
3710,10/02/1994,MALE
4324,01/01/1992,MALE
3551,25/01/2000,MALE
1333,28/04/1990,MALE
3526,16/03/1983,MALE
4391,12/06/1985,MALE
3329,15/08/1991,MALE
2847,20/02/1997,MALE
2978,27/08/1976,FEMALE
2722,02/02/2002,MALE
3774,11/09/1987,MALE
4458,15/05/1978,MALE
3169,02/11/1994,FEMALE
2310,08/07/1986,FEMALE
2852,08/05/1996,MALE
2692,01/01/1973,MALE
3355,05/01/1974,MALE
2708,01/07/1985,MALE
2464,08/01/1992,MALE
3534,24/09/1999,FEMALE
3153,23/02/1989,MALE
2724,20/01/1995,MALE
3697,19/07/1995,MALE
4189,28/12/1992,FEMALE
4086,19/01/1979,MALE
4155,27/03/1998,MALE
3108,26/05/1976,MALE
609,24/03/1991,MALE
4061,11/01/2000,MALE
2545,10/03/1982,MALE
3512,28/02/1987,MALE
2401,20/03/1981,MALE
4415,23/12/1983,MALE
2812,05/12/1997,MALE
353,18/01/1997,MALE
2223,02/01/1988,MALE
2565,01/05/1988,MALE
823,28/01/1992,MALE
3133,15/11/1995,MALE
3167,14/10/1980,MALE
4678,12/01/1988,MALE
4168,01/01/1993,MALE
4636,10/04/1996,MALE
3558,13/07/2000,MALE
3477,21/10/1999,MALE
3663,26/05/1981,MALE
4132,01/01/1993,MALE
3439,13/11/1993,MALE
4425,26/01/1995,MALE
4771,22/12/1977,MALE
3170,08/05/1999,MALE
3444,30/09/1984,FEMALE
4803,31/12/1991,MALE
1605,09/05/1993,MALE
2181,05/06/1988,MALE
3482,06/04/1981,MALE
2208,08/10/1992,MALE
4804,07/01/1993,MALE
4281,23/08/2002,MALE
4654,12/12/1997,MALE
3664,19/09/1998,FEMALE
4247,31/07/1991,MALE
3646,03/07/1981,MALE
3081,02/12/1992,MALE
4496,15/03/1985,MALE
2716,01/04/1999,MALE
2589,29/05/1981,MALE
4501,05/08/1987,MALE
3092,01/01/1983,MALE
1919,05/02/1988,MALE
2253,12/12/2003,MALE
4597,24/01/1994,MALE
4562,23/01/1985,MALE
2161,01/05/1989,MALE
3352,02/01/1990,MALE
2827,08/07/1987,MALE
466,12/03/1993,MALE
2614,08/04/1992,MALE
3911,01/12/1988,MALE
3524,01/01/1982,MALE
2989,11/09/1976,MALE
2429,27/01/1990,MALE
3127,18/08/1981,MALE
4233,17/08/1996,MALE
4883,25/12/1988,MALE
4925,01/03/1981,MALE
3603,01/01/1998,MALE
2856,20/04/1988,MALE
2316,17/09/1981,MALE
3455,20/12/1988,MALE
4267,01/03/1981,MALE
2760,07/01/1979,MALE
4104,16/11/1986,MALE
2233,10/02/1987,MALE
496,19/04/1994,MALE
4418,30/12/1998,MALE
5203,01/01/1985,FEMALE
4351,12/07/1994,MALE
3300,01/01/1982,MALE
4340,25/01/1974,MALE
2985,31/07/1982,MALE
4183,31/12/1983,MALE
5171,16/04/1987,MALE
654,03/05/1995,FEMALE
2403,14/07/1992,FEMALE
2355,06/08/1996,MALE
2145,10/04/1989,MALE
4782,09/07/2000,MALE
4502,15/10/1984,MALE
1166,01/09/1975,MALE
1782,01/05/1986,MALE
1676,28/03/1999,MALE
1747,18/11/1991,MALE
3130,20/12/1996,FEMALE
3736,05/07/1995,MALE
1672,30/01/1999,MALE
2290,02/11/1992,MALE
3464,03/11/1986,MALE
2574,28/05/1995,MALE
4981,27/06/1994,FEMALE
5379,01/03/1990,MALE
5400,13/05/1987,MALE
3328,21/11/1985,MALE
5088,09/08/1990,MALE
4819,02/01/1982,MALE
5221,14/07/1988,MALE
5255,17/12/2001,MALE
2367,24/12/1978,MALE
5418,05/04/1976,MALE
2408,15/02/1984,MALE
2632,01/01/1989,FEMALE
4199,02/02/1987,MALE
4322,12/08/1985,MALE
5340,10/07/1999,MALE
2038,01/01/1996,MALE
4272,27/12/1987,MALE
4462,01/04/1998,MALE
2829,16/10/1988,MALE
3601,03/01/1998,MALE
5516,18/11/1990,MALE
5531,26/06/1990,MALE
1418,15/08/1977,MALE
5164,24/08/1988,MALE
810,08/10/1986,MALE
5472,20/12/1997,MALE
322,14/12/1982,MALE
2075,02/07/1988,MALE
5358,24/02/1993,MALE
3343,01/08/1994,MALE
5745,04/03/1998,MALE
5758,01/02/1986,MALE
1773,20/11/2000,MALE
797,03/06/1991,MALE
5618,09/12/1986,MALE
1378,01/01/1997,MALE
5235,27/07/1985,MALE
75,08/12/1974,MALE
99,30/03/1983,MALE
2186,25/01/1996,MALE
3308,08/10/1990,MALE
151,20/03/1992,MALE
513,14/01/1980,MALE
2129,19/03/1993,FEMALE
2418,07/12/1994,MALE
5819,01/01/1973,FEMALE
5311,03/06/1993,MALE
5854,18/09/1991,MALE
3545,06/01/2002,MALE
152,01/01/1995,FEMALE
397,01/02/1983,MALE
137,23/05/1989,MALE
2244,01/03/1993,MALE
5859,26/01/1991,MALE
45,24/11/1983,MALE
896,15/05/1996,MALE
4098,05/03/1982,MALE
5701,01/08/1991,MALE
5801,16/02/1988,MALE
5861,28/02/1989,MALE
351,02/11/1996,MALE
2554,27/10/1993,MALE
93,15/03/1988,MALE
1339,17/07/2000,MALE
1774,04/01/1994,MALE
1293,10/09/1981,MALE
5181,15/08/1995,MALE
1202,24/08/1980,MALE
2276,11/08/1985,MALE
4212,01/03/1989,MALE
35,24/12/1992,MALE
5555,10/01/1978,MALE
38,09/04/2000,MALE
621,09/06/1997,MALE
6015,20/01/2002,MALE
1503,12/02/1983,MALE
2068,05/02/1980,MALE
5061,05/10/2002,MALE
5865,01/11/1990,MALE
901,15/01/1994,MALE
6028,23/12/1987,MALE
566,21/08/2001,MALE
116,01/05/1981,MALE
713,10/05/1985,MALE
5342,07/07/1994,MALE
6058,15/05/1997,MALE
6107,01/01/1985,MALE
3047,03/05/1996,FEMALE
5981,11/12/1994,MALE
734,06/05/1988,FEMALE
112,17/08/1982,MALE
5461,15/12/1983,MALE
5534,18/08/1979,MALE
2480,10/10/1985,FEMALE
1930,11/05/1993,MALE
6176,24/06/1995,MALE
1512,31/01/1990,FEMALE
4559,25/09/1989,MALE
6258,06/09/2003,MALE
2535,25/10/1986,MALE
2341,29/04/1983,MALE
1087,18/09/1982,MALE
4994,02/12/1988,MALE
5780,01/01/1980,MALE
2929,09/10/2002,MALE
6273,08/02/1981,MALE
515,01/11/1990,MALE
620,07/12/1989,MALE
1577,15/02/1978,MALE
144,14/10/1989,MALE
6364,12/09/2001,MALE
1329,11/09/1980,MALE
2447,20/09/1984,MALE
1314,08/08/1985,MALE
1239,05/03/1994,MALE
6405,23/09/1989,MALE
6347,06/08/1982,MALE
3282,25/07/1978,MALE
5501,03/06/1982,MALE
1240,27/03/1991,MALE
5751,01/12/1994,MALE
6463,03/10/1978,MALE
6495,20/10/1999,MALE
729,11/08/1990,MALE
2097,07/01/1985,MALE
1736,01/11/1990,MALE
552,27/04/1990,MALE
6484,21/04/1988,MALE
6574,01/12/1976,MALE
1173,10/01/1980,MALE
2205,22/12/1987,MALE
6487,29/11/1975,MALE
6320,02/10/1989,MALE
1008,05/04/1982,MALE
6570,30/04/1984,FEMALE
5983,04/01/1995,MALE
829,15/02/1990,MALE
1187,25/02/1996,MALE
6619,21/08/1992,MALE
746,01/01/1988,MALE
356,17/09/1992,MALE
2148,02/01/1991,MALE
5485,04/08/1997,MALE
1653,01/08/1989,MALE
1283,18/08/1989,MALE
6711,28/07/1999,MALE
6741,09/03/1997,MALE
6285,10/05/1973,MALE
2210,15/05/1997,MALE
1445,11/04/1984,MALE
483,31/05/1986,MALE
5309,13/06/1997,MALE
1055,13/11/1992,MALE
5167,10/08/2000,MALE
837,02/04/1992,FEMALE
5493,08/10/1992,MALE
6549,02/04/1998,MALE
243,03/08/1984,MALE
6665,16/04/2002,FEMALE
1011,30/04/1991,MALE
3924,01/12/1981,MALE
6851,25/12/1994,FEMALE
573,01/01/1990,MALE
941,14/07/1995,MALE
6929,07/07/1984,MALE
6911,24/07/1981,FEMALE
5529,25/10/1990,MALE
6414,15/03/2000,MALE
6984,20/01/2002,MALE
2275,11/09/1977,FEMALE
546,05/01/1989,MALE
748,01/01/1978,MALE
5945,13/09/1994,MALE
78,02/02/1989,MALE
3723,10/12/1991,MALE
3998,29/12/2002,MALE
1717,05/05/1981,MALE
6735,15/01/1993,MALE
7042,01/01/2000,FEMALE
6184,01/01/1982,MALE
5736,27/08/1987,MALE
1447,22/12/1994,MALE
2261,30/01/1997,MALE
3079,11/03/1989,MALE
7036,08/11/1989,MALE
7115,15/09/1995,MALE
5727,14/07/1978,MALE
481,30/10/1995,MALE
7094,11/09/1996,MALE
1690,19/02/1991,MALE
6882,09/01/1997,MALE
6454,06/02/1989,MALE
721,14/06/1986,MALE
5462,01/07/1982,MALE
976,22/07/1989,MALE
947,17/01/1990,MALE
6744,02/10/1989,MALE
5610,10/02/1992,MALE
1038,01/04/1988,MALE
4276,07/06/1986,MALE
1344,01/01/1988,MALE
7314,10/04/1994,MALE
7289,27/01/1997,MALE
336,16/12/1987,MALE
7193,20/03/1995,MALE
1033,08/08/1986,MALE
1330,15/09/1994,MALE
5572,01/04/1995,MALE
46,16/05/1986,MALE
6785,21/12/1987,MALE
1507,02/08/1984,MALE
37,23/05/1980,FEMALE
6991,05/12/1992,MALE
759,01/09/1996,MALE
6496,09/01/1977,MALE
7409,06/09/1985,MALE
1596,16/01/2000,MALE
1425,08/04/1987,MALE
6755,21/06/1982,MALE
4745,27/06/1990,MALE
7430,15/05/2001,MALE
627,22/01/1987,MALE
7380,05/07/1992,MALE
531,10/01/1993,MALE
180,01/01/1992,MALE
7441,24/06/1989,MALE
7388,08/12/1997,MALE
844,03/05/1992,MALE
6955,07/08/1986,MALE
7459,30/12/1988,MALE
2797,28/01/1989,MALE
6859,25/08/1992,MALE
6647,02/06/1982,MALE
7421,02/07/1992,MALE
7077,16/03/1999,MALE
7147,01/03/1985,MALE
7146,29/05/1989,MALE
7435,20/11/1978,MALE
2339,23/05/1993,MALE
5759,02/07/1989,MALE
7592,03/11/1986,MALE
1546,10/10/2002,MALE
3689,03/04/1987,MALE
2111,09/06/2001,MALE
47,09/06/1983,MALE
7636,01/08/1995,MALE
1448,01/04/1981,FEMALE
7339,20/03/1976,MALE
7611,01/11/1984,MALE
7260,04/01/1991,MALE
36,28/08/1989,MALE
1647,19/05/1986,MALE
7456,28/12/1986,MALE
1686,08/04/1994,MALE
7682,01/12/1992,MALE
7700,21/08/1994,FEMALE
1618,14/07/1983,MALE
1238,21/07/1985,MALE
1379,01/11/1988,MALE
1558,05/02/1989,MALE
7747,05/12/1988,MALE
1051,28/10/1984,MALE
7826,01/07/1997,MALE
1222,27/10/1987,MALE
7896,01/04/1979,MALE
7881,18/12/1995,MALE
7793,13/05/1998,MALE
3129,07/11/1975,FEMALE
7857,10/10/1993,MALE
7652,13/10/1993,MALE
1560,01/03/1984,MALE
7967,16/10/1986,MALE
7971,26/06/2003,MALE
1559,10/03/1990,MALE
8095,10/10/1996,MALE
7722,01/11/1986,FEMALE
255,23/08/2000,MALE
73,25/06/1998,MALE
6639,26/12/1986,MALE
8004,20/03/1997,MALE
8062,01/01/1989,FEMALE
8035,28/06/1985,MALE
1677,19/10/1993,MALE
7993,05/01/1993,MALE
1626,01/09/1991,MALE
1561,24/06/1978,MALE
1528,02/09/1985,MALE
7192,01/02/1985,MALE
8107,20/05/1973,MALE
7968,30/03/1985,MALE
8453,27/01/1992,MALE
8324,01/01/2000,MALE
8278,01/01/1976,MALE
1709,17/07/1981,MALE
1910,10/06/1999,MALE
4927,01/08/2002,MALE
8456,14/07/1992,FEMALE
8440,11/04/1992,MALE
7761,27/02/2000,MALE
8533,28/04/1999,MALE
7320,20/04/1995,MALE
7709,03/02/1998,MALE
638,01/01/1998,MALE
